Nombre_Archivo,SHA256,Fecha_Analisis_UTC,Ruta_Absoluta,QPDF_ExitCode,Discrepancia_XREF,QPDF_Stderr_Resumen,Tiene_Metadatos,Cant_Imagenes,Varianza_Cero_Encontrada,Contiene_Vectores,Score_Vectorial
E14_XXX_X_88_360_035_02_000_X_XXX (8).pdf,8eb12feb770848c37a8bee84c9a0c7f55cdc599ca53ee2ae3a514653cbd69a5a,2026-08-30 19:12:36 UTC,/home/andrea-zabala-c/AndreTaker---AnZaCa-Rep/00_MUESTRAS_EVIDENCIA/1RA_VUELTA/E14_XXX_X_88_360_035_02_000_X_XXX (8).pdf,3,True,WARNING: /home/andrea-zabala-c/AndreTaker---AnZaCa-Rep/00_MUESTRAS_EVIDENCIA/1RA_VUELTA/E14_XXX_X_88_360_035_02_000_X_XXX (8).pdf: reported number of ,False,3,False,False,0
E14_XXX_X_88_360_035_83_000_X_XXX.pdf,dca11a1871c8ff07c3c525b24132af2b89626d13d8b7ce7b2fffdb1f0d8521cc,2026-08-30 19:12:36 UTC,/home/andrea-zabala-c/AndreTaker---AnZaCa-Rep/00_MUESTRAS_EVIDENCIA/1RA_VUELTA/E14_XXX_X_88_360_035_83_000_X_XXX.pdf,3,True,WARNING: /home/andrea-zabala-c/AndreTaker---AnZaCa-Rep/00_MUESTRAS_EVIDENCIA/1RA_VUELTA/E14_XXX_X_88_360_035_83_000_X_XXX.pdf: reported number of obje,False,6,True,False,0
E14_PRE_60_010_000_00_00_001_3085_Mesa_1.pdf,b10ec66970d6911ffc5ffaed53e9d91793d9b15683c254f6ca137ebddf89f9ed,2026-08-30 19:12:36 UTC,/home/andrea-zabala-c/AndreTaker---AnZaCa-Rep/00_MUESTRAS_EVIDENCIA/2DA_VUELTA/E14_PRE_60_010_000_00_00_001_3085_Mesa_1.pdf,3,True,WARNING: /home/andrea-zabala-c/AndreTaker---AnZaCa-Rep/00_MUESTRAS_EVIDENCIA/2DA_VUELTA/E14_PRE_60_010_000_00_00_001_3085_Mesa_1.pdf: reported number ,False,2,False,False,0
E14_PRE_60_010_000_00_00_002_3085_Mesa_2.pdf,4135a6873cf64e0d82ed66d2c37fa98ef396534874e15df265e5804bae935ae3,2026-08-30 19:12:36 UTC,/home/andrea-zabala-c/AndreTaker---AnZaCa-Rep/00_MUESTRAS_EVIDENCIA/2DA_VUELTA/E14_PRE_60_010_000_00_00_002_3085_Mesa_2.pdf,3,True,WARNING: /home/andrea-zabala-c/AndreTaker---AnZaCa-Rep/00_MUESTRAS_EVIDENCIA/2DA_VUELTA/E14_PRE_60_010_000_00_00_002_3085_Mesa_2.pdf: reported number ,False,2,False,False,1
